musicalId,tagId
1,26
2,1
2,23
3,6
3,40
4,7
4,13
4,21
4,32
4,18
4,1
5,7
5,14
5,21
5,26
5,29
5,25
5,1
7,39
8,26
8,2
9,26
9,42
9,21
10,21
10,26
10,29
10,39
11,27
11,29
11,31
12,12
13,39
14,21
14,26
14,39
15,40
16,40
17,21
17,26
17,27
17,29
17,31
18,40
18,26
18,7
19,5
20,38
21,7
21,26
21,27
21,33
22,22
22,26
22,25
23,26
23,32
24,21
24,26
24,27
24,31
24,42
25,37
25,5
26,2
26,9
26,14
26,26
26,29
27,7
27,26
28,15
28,40
28,35
29,40
30,14
30,27
30,31
31,11
31,33
31,23
32,7
32,9
32,14
33,26
33,31
34,26
34,41
34,39
35,26
35,29
35,31
36,2
36,10
36,11
36,20
36,21
36,26
36,27
36,31
36,17
36,42
36,1
37,10
37,21
37,26
37,31
37,1
38,30
38,40
38,10
38,12
39,26
39,39
39,6
41,26
41,39
42,26
44,26
44,31
45,6
45,38
46,40
46,38
47,21
47,26
47,39
47,1
48,1
49,1
50,26
50,27
50,39
50,6
51,26
51,39
52,21
52,26
52,1
53,26
53,39
54,15
54,35
54,26
54,19
55,1
55,43
55,14
56,26
57,26
58,2
58,27
58,24
58,31
58,42
58,3
59,21
59,8
59,1
60,40
61,6
61,38
63,6
63,38
63,26
63,14
65,27
65,32
65,17
66,1
66,21
68,39
69,21
69,26
69,32
69,42
70,26
70,39
71,26
71,31
71,39
71,1
72,13
72,27
72,32
72,41
72,34
72,23
72,25
72,16
73,32
74,1
75,26
76,26
77,7
77,14
77,21
77,22
77,26
77,33
78,41
78,8
79,38
80,2
80,7
80,14
80,26
80,27
80,31
80,42
80,1
81,7
81,11
81,14
81,21
81,26
81,31
81,33
81,42
81,1
82,6
82,35
83,2
83,14
83,19
83,21
83,22
83,29
83,1
83,35
84,10
84,5
85,10
85,14
85,21
85,22
85,26
85,31
85,1
85,35
86,7
86,14
86,20
86,21
86,26
86,27
86,29
87,10
87,13
87,14
87,19
87,21
87,26
87,31
87,33
87,36
88,35
88,5
89,19
89,26
89,31
90,39
91,2
91,27
91,26
92,6
93,30
93,40
94,21
94,26
94,39
95,26
96,38
97,26
97,7
98,26
99,26
99,39
99,42
100,40
100,36
101,14
101,19
101,26
102,21
102,8
103,26
105,39
107,26
108,35
108,5
109,38
110,2
110,14
110,26
110,27
110,31
111,43
111,14
112,21
112,26
112,39
112,8
114,30
114,12
114,35
115,26
116,16
116,25
117,32
117,24
117,6
118,39
119,10
119,14
119,21
119,22
119,26
119,27
119,31
119,33
119,23
119,25
119,1
120,10
120,14
120,21
120,22
120,26
120,27
120,31
120,23
120,25
120,1
121,30
122,26
123,26
123,27
123,32
123,8
123,42
124,40
124,33
124,23
125,26
126,6
126,30
126,40
127,26
127,27
128,32
129,26
130,26
130,32
131,26
131,27
131,31
131,4
132,32
132,6
133,2
133,14
133,21
133,26
133,29
133,31
133,1
134,40
134,35
135,21
135,26
135,31
135,33
135,1
136,39
136,14
137,15
138,37
138,5
139,2
139,10
139,14
139,20
139,26
139,27
139,29
139,31
139,25
139,42
139,1
140,26
140,27
140,39
140,23
140,6
141,21
141,26
142,26
142,39
143,39
143,6
144,26
144,1
145,26
146,33
148,39
149,37
150,7
150,32
151,35
152,21
152,26
